province,census_division_name,city,odhf_facility_type,facilities
on,Parry Sound,britt,Ambulatory health care services,1
bc,Skeena-Queen Charlotte,sandspit,Ambulatory health care services,1
qc,Lévis,lévis,Nursing and residential care facilities,8
nl,Unknown,burgeo,Hospitals,1
qc,Montcalm,saint-lin--laurentides,Nursing and residential care facilities,1
bc,Capital,saanichton,Nursing and residential care facilities,4
qc,Le Saguenay-et-son-Fjord,la baie,Hospitals,1
bc,Cowichan Valley,shawnigan lake,Nursing and residential care facilities,1
qc,Québec,saint-augustin-de-desmaures,Nursing and residential care facilities,2
qc,L'Érable,lyster,Nursing and residential care facilities,1
mb,Division No. 23,gillam,Hospitals,1
qc,Nord-du-Québec,kuujjuarapik,Nursing and residential care facilities,1
ns,Cape Breton,sydney mines,Nursing and residential care facilities,1
qc,Montcalm,saint-liguori,Nursing and residential care facilities,1
qc,Manicouagan,baie-comeau,Nursing and residential care facilities,3
qc,Nicolet-Yamaska,nicolet,Ambulatory health care services,2
mb,Division No.  7,glenboro,Hospitals,1
bc,Greater Vancouver,white rock,Nursing and residential care facilities,4
qc,Témiscouata,rivière-bleue,Nursing and residential care facilities,1
qc,Les Appalaches,east broughton,Nursing and residential care facilities,1
qc,La Haute-Gaspésie,marsoui,Ambulatory health care services,1
qc,Thérèse-De Blainville,boisbriand,Hospitals,1
sk,Division No. 11,outlook,Hospitals,1
qc,Le Saguenay-et-son-Fjord,saint-ambroise,Ambulatory health care services,1
qc,La Matapédia,sayabec,Ambulatory health care services,1
on,Lanark,carleton place,Hospitals,1
on,Parry Sound,sundridge,Nursing and residential care facilities,1
on,Muskoka,huntsville,Ambulatory health care services,2
on,Haliburton,haliburton,Nursing and residential care facilities,2
nl,Division No.  1,st johns,Nursing and residential care facilities,1
qc,Nord-du-Québec,puvirnituq,Nursing and residential care facilities,1
sk,Division No. 12,dinsmore,Hospitals,1
on,Middlesex,strathroy,Nursing and residential care facilities,3
on,Wellington,elora,Nursing and residential care facilities,2
on,Unknown,st catharines,Ambulatory health care services,4
mb,Division No. 19,hodgson,Hospitals,1
qc,Charlevoix-Est,la malbaie,Nursing and residential care facilities,2
on,York,newmarket,Hospitals,1
ns,Yarmouth,overton,Nursing and residential care facilities,1
nl,Unknown,rencontre east,Ambulatory health care services,1
nb,Albert,riverview,Nursing and residential care facilities,2
pe,Prince,wellington,Nursing and residential care facilities,1
on,Kenora,peawanuck,Hospitals,1
on,Halton,milton,Ambulatory health care services,4
ns,Lunenburg,chester,Nursing and residential care facilities,1
nt,Region 1,inuvik,Hospitals,1
nt,Region 5,fort smith,Hospitals,1
on,Niagara,niagara falls,Hospitals,1
on,Wellington,guelph,Hospitals,2
qc,Deux-Montagnes,saint-eustache,Hospitals,5
bc,Unknown,salmon arm,Nursing and residential care facilities,2
qc,La Vallée-de-la-Gatineau,gracefield,Nursing and residential care facilities,1
sk,Division No. 17,turtleford,Hospitals,1
ab,Division No. 12,smoky lake,Hospitals,1
on,Brant,hagersville,Nursing and residential care facilities,1
bc,Greater Vancouver,richmond,Nursing and residential care facilities,35
sk,Division No.  1,carlyle,Ambulatory health care services,2
qc,Drummond,saint-guillaume,Ambulatory health care services,1
ab,Unknown,cochrane,Hospitals,1
qc,Témiscouata,témiscouata-sur-le-lac,Ambulatory health care services,2
qc,Minganie--Le Golfe-du-Saint-Laurent,gros-mécatina,Ambulatory health care services,2
qc,Le Saguenay-et-son-Fjord,l'anse-saint-jean,Ambulatory health care services,2
nb,Restigouche,saint-quentin,Nursing and residential care facilities,1
on,Greater Sudbury / Grand Sudbury,sudbury,Hospitals,3
qc,Lévis,lévis,Ambulatory health care services,8
ns,Lunenburg,lunenburg,Nursing and residential care facilities,1
sk,Division No. 16,leask,Nursing and residential care facilities,1
bc,Capital,salt spring island,Nursing and residential care facilities,1
ab,Unknown,la crete,Hospitals,1
on,Niagara,grimsby,Ambulatory health care services,2
qc,Rivière-du-Loup,saint-antonin,Hospitals,1
on,Niagara,fort erie,Hospitals,1
on,Oxford,norwich,Nursing and residential care facilities,2
bc,Nanaimo,nanaimo,Hospitals,1
on,Bruce,sauble beach,Ambulatory health care services,1
sk,Division No. 15,humboldt,Hospitals,1
on,Waterloo,saint jacobs,Ambulatory health care services,1
bc,Kootenay Boundary,warfield,Nursing and residential care facilities,1
sk,Division No. 14,spalding,Ambulatory health care services,1
bc,Capital,victoria,Hospitals,4
on,Bruce,southampton,Nursing and residential care facilities,2
qc,Le Domaine-du-Roy,saint-félicien,Ambulatory health care services,2
bc,North Okanagan,enderby,Nursing and residential care facilities,1
bc,Thompson-Nicola,kamloops,Ambulatory health care services,2
nb,Carleton,waterville,Hospitals,1
nb,Gloucester,bathurst,Nursing and residential care facilities,2
qc,Matawinie,rawdon,Hospitals,1
on,Greater Sudbury / Grand Sudbury,sudbury,Nursing and residential care facilities,16
sk,Division No. 13,wilkie,Hospitals,1
on,Waterloo,cambridge,Nursing and residential care facilities,13
ab,Division No.  8,innisfail,Hospitals,1
ns,Queens,caledonia,Nursing and residential care facilities,1
on,Unknown,hamilton,Ambulatory health care services,5
on,Durham,bowmanville,Hospitals,1
qc,Le Val-Saint-François,valcourt,Ambulatory health care services,1
on,Northumberland,cobourg,Hospitals,1
sk,Division No.  1,lampman,Ambulatory health care services,1
on,"Stormont, Dundas and Glengarry",morrisburg,Nursing and residential care facilities,1
on,Grey,hanover,Nursing and residential care facilities,4
sk,Unknown,rosthern,Ambulatory health care services,1
sk,Division No. 10,watson,Ambulatory health care services,1
on,Thunder Bay,terrace bay,Hospitals,1
nt,Region 4,fort simpson,Ambulatory health care services,1
on,Waterloo,breslau,Ambulatory health care services,1
qc,Drummond,drummondville,Ambulatory health care services,5
ab,Division No.  7,coronation,Hospitals,1
yt,Yukon,whitehorse,Ambulatory health care services,11
on,Simcoe,bradford west gwillimbury,Nursing and residential care facilities,2
qc,La Haute-Côte-Nord,forestville,Hospitals,1
ns,Richmond,arichat,Nursing and residential care facilities,1
ab,Unknown,linden,Nursing and residential care facilities,1
qc,D'Autray,berthierville,Ambulatory health care services,2
on,Sudbury,espanola,Hospitals,1
on,Chatham-Kent,dresden,Nursing and residential care facilities,2
sk,Unknown,weyburn,Hospitals,2
bc,Unknown,victoria,Hospitals,1
on,Kawartha Lakes,little britain,Nursing and residential care facilities,1
qc,Avignon,pointe-à-la-croix,Ambulatory health care services,1
on,Wellington,arthur,Nursing and residential care facilities,1
on,Elgin,st thomas,Hospitals,1
on,Prince Edward,edward,Nursing and residential care facilities,6
ns,Halifax,halifax,Nursing and residential care facilities,10
nb,Sunbury,fredericton junction,Nursing and residential care facilities,1
on,"Stormont, Dundas and Glengarry",lancaster,Nursing and residential care facilities,2
qc,Joliette,joliette,Ambulatory health care services,4
qc,Abitibi-Ouest,palmarolle,Nursing and residential care facilities,1
qc,Minganie--Le Golfe-du-Saint-Laurent,havre-saint-pierre,Nursing and residential care facilities,1
qc,Les Jardins-de-Napierville,saint-rémi,Ambulatory health care services,1
sk,Division No.  2,weyburn,Nursing and residential care facilities,2
sk,Division No.  7,moose jaw,Ambulatory health care services,2
on,Northumberland,port hope,Ambulatory health care services,2
nl,Division No.  8,summerford,Ambulatory health care services,1
sk,Division No. 10,wynyard,Nursing and residential care facilities,1
qc,Abitibi,amos,Ambulatory health care services,3
on,Simcoe,orillia,Ambulatory health care services,9
bc,Unknown,armstrong,Hospitals,1
on,Lambton,petrolia,Hospitals,1
qc,Laval,laval,Hospitals,9
on,Northumberland,campbellford,Ambulatory health care services,1
bc,Okanagan-Similkameen,princeton,Hospitals,1
qc,Les Maskoutains,saint-hyacinthe,Nursing and residential care facilities,7
bc,Unknown,langley,Nursing and residential care facilities,1
bc,Unknown,port alberni,Nursing and residential care facilities,2
on,Oxford,ingersoll,Ambulatory health care services,3
on,Essex,windsor,Hospitals,4
bc,North Okanagan,vernon,Nursing and residential care facilities,22
sk,Division No.  1,stoughton,Nursing and residential care facilities,1
ab,Division No. 11,edmonton,Nursing and residential care facilities,1
nb,Kent,rexton,Nursing and residential care facilities,1
bc,Unknown,burnaby,Hospitals,1
qc,La Haute-Yamaska,waterloo,Nursing and residential care facilities,2
qc,Thérèse-De Blainville,sainte-anne-des-plaines,Ambulatory health care services,1
on,Cochrane,hearst,Hospitals,1
nb,Westmorland,moncton,Hospitals,2
bc,Strathcona,campbell river,Ambulatory health care services,5
qc,Le Haut-Saint-Laurent,huntingdon,Nursing and residential care facilities,1
ab,Division No. 11,leduc,Hospitals,1
qc,Le Saguenay-et-son-Fjord,saguenay,Hospitals,3
bc,Bulkley-Nechako,burns lake,Hospitals,1
sk,Unknown,north battleford,Hospitals,1
mb,Division No.  6,,Nursing and residential care facilities,1
on,"Stormont, Dundas and Glengarry",cornwall,Ambulatory health care services,6
qc,Maskinongé,saint-alexis-des-monts,Ambulatory health care services,1
qc,Roussillon,delson,Ambulatory health care services,1
bc,Cowichan Valley,duncan,Nursing and residential care facilities,16
qc,Les Laurentides,labelle,Ambulatory health care services,1
pe,Prince,alberton,Ambulatory health care services,2
qc,Shawinigan,shawinigan,Nursing and residential care facilities,3
qc,Roussillon,candiac,Ambulatory health care services,1
mb,Division No.  1,lac du bonnet,Ambulatory health care services,1
on,Prescott and Russell,lorignal,Nursing and residential care facilities,1
ab,Unknown,sherwood park,Hospitals,1
qc,Nord-du-Québec,chisasibi,Ambulatory health care services,1
nb,Victoria,perth-andover,Nursing and residential care facilities,1
nb,Westmorland,shédiac,Nursing and residential care facilities,1
on,Unknown,stratford,Nursing and residential care facilities,1
sk,Division No. 14,melfort,Hospitals,1
on,Renfrew,pembroke,Hospitals,1
pe,Prince,summerside,Hospitals,1
pe,Prince,tyne valley,Nursing and residential care facilities,1
ab,Division No. 10,two hills,Hospitals,1
ab,Division No. 17,swan hills,Hospitals,1
sk,Division No.  1,redvers,Hospitals,1
ns,Hants,windsor,Nursing and residential care facilities,4
on,York,newmarket,Ambulatory health care services,9
nl,Division No.  9,port saunders,Hospitals,1
on,Manitoulin,wikwemikong,Nursing and residential care facilities,1
on,Nipissing,north bay,Nursing and residential care facilities,7
ns,Colchester,brookfield,Nursing and residential care facilities,1
ns,Inverness,port hawkesbury,Nursing and residential care facilities,1
on,Parry Sound,parry sound,Ambulatory health care services,3
qc,La Côte-de-Gaspé,gaspé,Nursing and residential care facilities,1
on,Simcoe,barrie,Nursing and residential care facilities,20
pe,Kings,morell,Ambulatory health care services,1
qc,Roussillon,châteauguay,Nursing and residential care facilities,2
qc,Témiscamingue,témiscaming,Hospitals,1
sk,Division No.  7,central butte,Hospitals,1
bc,Central Okanagan,lake country,Ambulatory health care services,2
qc,Lac-Saint-Jean-Est,alma,Ambulatory health care services,5
bc,Unknown,lumby,Nursing and residential care facilities,1
pe,Kings,montague,Nursing and residential care facilities,4
on,Bruce,walkerton,Hospitals,1
sk,Division No.  8,eston,Nursing and residential care facilities,1
sk,Division No. 15,prince albert,Ambulatory health care services,8
mb,Division No. 20,swan river,Hospitals,1
sk,Division No.  7,moose jaw,Nursing and residential care facilities,3
nl,Division No.  7,eastport,Ambulatory health care services,1
sk,Unknown,wawota,Nursing and residential care facilities,1
on,Northumberland,cobourg,Ambulatory health care services,2
ab,Unknown,edmonton,Hospitals,7
nt,Region 5,hay river,Hospitals,1
on,Manitoulin,mindemoya,Ambulatory health care services,1
sk,Division No.  3,coronach,Ambulatory health care services,1
bc,Okanagan-Similkameen,penticton,Nursing and residential care facilities,8
on,Ottawa,ottawa,Nursing and residential care facilities,111
ns,Halifax,beaverbank,Nursing and residential care facilities,1
qc,Longueuil,saint-hubert,Nursing and residential care facilities,1
on,Wellington,palmerston,Hospitals,1
sk,Division No.  5,wolseley,Hospitals,1
on,Simcoe,barrie,Hospitals,1
ab,Unknown,camrose,Nursing and residential care facilities,3
qc,Témiscamingue,laforce,Ambulatory health care services,1
on,Unknown,niagara on the lake,Ambulatory health care services,1
on,Cochrane,timmins,Hospitals,1
on,Halton,halton hills,Nursing and residential care facilities,4
on,Elgin,port stanley,Nursing and residential care facilities,1
sk,Division No. 17,lloydminster,Nursing and residential care facilities,1
qc,Brome-Missisquoi,lac-brome,Ambulatory health care services,1
on,Essex,windsor,Ambulatory health care services,16
on,Huron,wingham,Nursing and residential care facilities,2
ab,Unknown,claresholm,Hospitals,1
on,Sudbury,naughton,Ambulatory health care services,1
on,Peel,mississauga,Hospitals,2
qc,Le Haut-Saint-François,weedon,Nursing and residential care facilities,1
qc,D'Autray,lanoraie,Nursing and residential care facilities,1
on,Grey,markdale,Nursing and residential care facilities,1
nl,Unknown,gaultois,Ambulatory health care services,1
bc,Okanagan-Similkameen,penticton,Ambulatory health care services,2
sk,Division No. 11,davidson,Hospitals,1
on,Middlesex,lucan,Nursing and residential care facilities,2
qc,Mékinac,sainte-thècle,Nursing and residential care facilities,1
qc,Coaticook,dixville,Ambulatory health care services,1
on,Haldimand-Norfolk,caledonia,Nursing and residential care facilities,1
ns,Annapolis,middleton,Hospitals,1
ab,Unknown,hythe,Nursing and residential care facilities,1
qc,Charlevoix,baie-saint-paul,Nursing and residential care facilities,1
ab,Division No. 10,vermilion,Hospitals,1
ns,Halifax,bedford,Nursing and residential care facilities,1
on,Durham,cannington,Nursing and residential care facilities,1
ns,Kings,cambridge,Nursing and residential care facilities,1
on,Cochrane,moosonee,Ambulatory health care services,1
on,Lanark,mississippi mills,Ambulatory health care services,1
sk,Unknown,cupar,Nursing and residential care facilities,1
qc,La Vallée-de-la-Gatineau,maniwaki,Hospitals,2
bc,Fraser Valley,agassiz,Nursing and residential care facilities,2
sk,Unknown,prince albert,Nursing and residential care facilities,1
qc,Maria-Chapdelaine,dolbeau-mistassini,Hospitals,1
on,Haliburton,minden,Nursing and residential care facilities,1
bc,Squamish-Lillooet,squamish,Ambulatory health care services,1
qc,Beauharnois-Salaberry,beauharnois,Ambulatory health care services,1
qc,Arthabaska,victoriaville,Nursing and residential care facilities,3
qc,Les Laurentides,huberdeau,Nursing and residential care facilities,1
bc,Central Okanagan,kelowna,Hospitals,1
sk,Division No. 17,paradise hill,Ambulatory health care services,1
on,Chatham-Kent,chatham-kent,Ambulatory health care services,11
bc,Greater Vancouver,bowen island,Nursing and residential care facilities,1
ab,Division No. 17,wabasca,Ambulatory health care services,1
qc,Les Etchemins,saint-prosper,Ambulatory health care services,2
on,Durham,port perry,Ambulatory health care services,2
on,Simcoe,midland,Ambulatory health care services,3
nu,Kitikmeot,cambridge bay,Hospitals,1
qc,Témiscamingue,notre-dame-du-nord,Nursing and residential care facilities,1
on,Haldimand-Norfolk,dunnville,Hospitals,1
on,Hastings,belleville,Nursing and residential care facilities,11
qc,Avignon,carleton-sur-mer,Ambulatory health care services,2
qc,Longueuil,saint-lambert,Hospitals,2
on,Wellington,fergus,Ambulatory health care services,1
qc,Le Haut-Saint-François,cookshire-eaton,Ambulatory health care services,1
qc,Montmagny,saint-fabien-de-panet,Ambulatory health care services,1
on,Essex,amherstburg,Nursing and residential care facilities,3
qc,Thérèse-De Blainville,blainville,Hospitals,1
nb,Gloucester,paquetville,Nursing and residential care facilities,1
on,Haliburton,haliburton,Hospitals,1
ab,Division No. 18,valleyview,Hospitals,1
bc,Fraser Valley,chilliwack,Hospitals,1
bc,Alberni-Clayoquot,port alberni,Hospitals,1
qc,La Côte-de-Gaspé,gaspé,Hospitals,3
on,Hastings,marmora,Nursing and residential care facilities,1
nl,Division No.  6,gander,Ambulatory health care services,1
qc,La Vallée-de-la-Gatineau,maniwaki,Ambulatory health care services,3
pe,Queens,clyde river,Nursing and residential care facilities,1
on,Leeds and Grenville,prescott,Ambulatory health care services,1
on,Unknown,rockland,Ambulatory health care services,1
qc,Pierre-De Saurel,sorel-tracy,Nursing and residential care facilities,6
ab,Division No.  2,taber,Hospitals,1
qc,Sept-Rivières--Caniapiscau,sept-îles,Nursing and residential care facilities,2
qc,Nord-du-Québec,nemaska,Ambulatory health care services,2
bc,Bulkley-Nechako,fort st james,Hospitals,1
on,York,richmond hill,Nursing and residential care facilities,10
mb,Division No. 18,arborg,Hospitals,1
bc,Alberni-Clayoquot,port alberni,Nursing and residential care facilities,7
nl,Division No.  2,burin,Ambulatory health care services,1
mb,Division No. 14,stonewall,Hospitals,2
on,Middlesex,wardsville,Nursing and residential care facilities,1
on,Peel,mississauga,Nursing and residential care facilities,37
ab,Unknown,radway,Nursing and residential care facilities,1
qc,Francheville,saint-narcisse,Nursing and residential care facilities,1
on,Prescott and Russell,vankleek hill,Nursing and residential care facilities,1
nl,Division No.  9,st anthony,Hospitals,1
qc,Beauharnois-Salaberry,salaberry-de-valleyfield,Nursing and residential care facilities,7
on,Waterloo,waterloo,Ambulatory health care services,8
qc,Abitibi-Ouest,la sarre,Hospitals,1
sk,Division No. 14,rose valley,Ambulatory health care services,1
on,Halton,milton,Nursing and residential care facilities,4
qc,Minganie--Le Golfe-du-Saint-Laurent,havre-saint-pierre,Hospitals,1
on,Northumberland,port hope,Nursing and residential care facilities,6
bc,Central Kootenay,castlegar,Nursing and residential care facilities,8
qc,Manicouagan,baie-comeau,Hospitals,3
nb,Queens,gagetown,Nursing and residential care facilities,1
bc,Greater Vancouver,abbotsford,Nursing and residential care facilities,1
on,Thunder Bay,geraldton,Nursing and residential care facilities,1
qc,Lotbinière,saint-apollinaire,Nursing and residential care facilities,1
qc,L'Érable,princeville,Nursing and residential care facilities,1
bc,Greater Vancouver,delta,Nursing and residential care facilities,18
qc,Portneuf,saint-marc-des-carrières,Nursing and residential care facilities,1
qc,La Vallée-de-la-Gatineau,low,Ambulatory health care services,1
ns,Halifax,musquodoboit harbour,Hospitals,1
on,Wellington,guelph,Nursing and residential care facilities,14
sk,Division No. 18,beauval,Ambulatory health care services,1
qc,Bonaventure,bonaventure,Ambulatory health care services,1
pe,Prince,kensington,Nursing and residential care facilities,1
sk,Division No. 10,leroy,Ambulatory health care services,1
on,Timiskaming,new liskeard,Hospitals,1
nb,Northumberland,tabusintac,Nursing and residential care facilities,1
qc,Bellechasse,armagh,Ambulatory health care services,1
ns,Victoria,neils harbour,Nursing and residential care facilities,1
nl,Unknown,musgrave harbour,Ambulatory health care services,1
ab,Unknown,fort macleod,Nursing and residential care facilities,1
ab,Division No.  2,coaldale,Hospitals,1
sk,Division No.  5,wolseley,Ambulatory health care services,1
on,Nipissing,north bay,Hospitals,2
on,Haldimand-Norfolk,townsend,Nursing and residential care facilities,1
on,Rainy River,atikokan,Ambulatory health care services,1
on,Hastings,tweed,Nursing and residential care facilities,1
on,York,markham,Nursing and residential care facilities,11
qc,Longueuil,saint-bruno-de-montarville,Ambulatory health care services,1
on,Durham,sunderland,Nursing and residential care facilities,1
qc,Minganie--Le Golfe-du-Saint-Laurent,longue-pointe-de-mingan,Ambulatory health care services,1
on,Nipissing,mattawa,Nursing and residential care facilities,2
ns,Queens,liverpool,Nursing and residential care facilities,1
qc,Nord-du-Québec,kuujjuaq,Nursing and residential care facilities,1
qc,La Haute-Yamaska,granby,Nursing and residential care facilities,6
pe,Prince,margate,Nursing and residential care facilities,1
on,Chatham-Kent,chatham-kent,Nursing and residential care facilities,17
on,Middlesex,london,Nursing and residential care facilities,39
qc,Le Saguenay-et-son-Fjord,saguenay,Ambulatory health care services,9
on,Nipissing,west nipissing,Ambulatory health care services,2
bc,Greater Vancouver,north vancouver,Nursing and residential care facilities,42
on,Huron,seaforth,Hospitals,1
ns,Inverness,cheticamp,Nursing and residential care facilities,1
on,Kenora,slate falls,Ambulatory health care services,1
ab,Unknown,claresholm,Nursing and residential care facilities,1
on,Haldimand-Norfolk,simcoe,Nursing and residential care facilities,6
on,Simcoe,midland,Hospitals,1
ab,Unknown,edmonton,Nursing and residential care facilities,22
qc,Memphrémagog,stanstead,Ambulatory health care services,1
sk,Division No. 16,leoville,Ambulatory health care services,1
sk,Unknown,hafford,Nursing and residential care facilities,1
mb,Division No. 11,winnipeg,Hospitals,10
bc,Cariboo,quesnel,Hospitals,1
qc,Gatineau,gatineau,Ambulatory health care services,12
ns,Annapolis,bridgetown north,Nursing and residential care facilities,1
sk,Division No.  5,whitewood,Ambulatory health care services,1
ab,Unknown,evansburg,Nursing and residential care facilities,1
qc,La Haute-Yamaska,waterloo,Ambulatory health care services,2
sk,Division No.  9,kamsack,Ambulatory health care services,2
ab,Division No. 19,spirit river,Hospitals,1
nb,Gloucester,tracadie-sheila,Nursing and residential care facilities,1
pe,Queens,hunter river,Ambulatory health care services,1
qc,Québec,vanier,Nursing and residential care facilities,1
qc,Arthabaska,ham-nord,Nursing and residential care facilities,1
on,Haldimand-Norfolk,jarvis,Nursing and residential care facilities,1
bc,Columbia-Shuswap,salmon arm,Nursing and residential care facilities,8
sk,Division No.  6,southey,Ambulatory health care services,1
ns,Kings,berwick,Ambulatory health care services,1
ns,Cumberland,springhill,Hospitals,1
ns,Hants,shubenacadie,Nursing and residential care facilities,1
bc,Greater Vancouver,port moody,Hospitals,1
on,Perth,milverton,Nursing and residential care facilities,1
on,Leeds and Grenville,seeleys bay,Nursing and residential care facilities,1
on,Lambton,plympton-wyoming,Ambulatory health care services,2
on,Prescott and Russell,clarence creek,Nursing and residential care facilities,1
on,Peterborough,millbrook,Nursing and residential care facilities,1
on,Durham,pickering,Nursing and residential care facilities,6
sk,Unknown,moosomin,Nursing and residential care facilities,1
bc,Greater Vancouver,port coquitlam,Hospitals,1
on,Unknown,markham,Ambulatory health care services,1
mb,Division No.  1,pinawa,Hospitals,1
bc,Greater Vancouver,surrey,Hospitals,2
qc,Abitibi-Ouest,gallichan,Ambulatory health care services,1
on,Cochrane,moose factory,Hospitals,1
qc,Bécancour,bécancour,Nursing and residential care facilities,1
ab,Unknown,grande prairie,Ambulatory health care services,1
ab,Division No.  7,hardisty,Hospitals,1
qc,Rouyn-Noranda,rouyn-noranda,Hospitals,2
qc,Témiscamingue,moffet,Ambulatory health care services,1
qc,La Haute-Côte-Nord,les bergeronnes,Nursing and residential care facilities,1
on,Hastings,quinte west,Nursing and residential care facilities,4
on,"Stormont, Dundas and Glengarry",winchester,Nursing and residential care facilities,1
on,Timiskaming,englehart,Ambulatory health care services,1
on,Waterloo,saint jacobs,Nursing and residential care facilities,2
nb,Kent,sainte-anne-de-kent,Hospitals,1
qc,Le Rocher-Percé,chandler,Nursing and residential care facilities,2
nb,Gloucester,caraquet,Nursing and residential care facilities,1
on,Nipissing,north bay,Ambulatory health care services,10
ab,Division No. 19,beaverlodge,Hospitals,1
ns,Annapolis,middleton,Nursing and residential care facilities,1
qc,Nord-du-Québec,chapais,Hospitals,1
qc,Nord-du-Québec,umiujaq,Ambulatory health care services,1
on,Peterborough,lakefield,Ambulatory health care services,1
ab,Division No.  3,pincher creek,Hospitals,1
on,Middlesex,london,Ambulatory health care services,25
ab,Division No. 18,grande cache,Hospitals,1
sk,Division No.  8,cabri,Ambulatory health care services,1
bc,Sunshine Coast,gibsons,Nursing and residential care facilities,1
on,Dufferin,shelburne,Nursing and residential care facilities,3
sk,Division No. 12,rosetown,Hospitals,1
qc,Le Val-Saint-François,windsor,Nursing and residential care facilities,1
pe,Prince,tyne valley,Ambulatory health care services,1
on,Cochrane,kashechewan,Hospitals,1
on,Cochrane,fort albany,Hospitals,1
sk,Division No. 15,,Ambulatory health care services,2
qc,Les Laurentides,sainte-agathe-des-monts,Ambulatory health care services,4
on,Greater Sudbury / Grand Sudbury,capreol,Ambulatory health care services,2
qc,Bellechasse,saint-michel-de-bellechasse,Nursing and residential care facilities,1
qc,Sherbrooke,sherbrooke,Nursing and residential care facilities,9
qc,Les Moulins,terrebonne,Ambulatory health care services,8
nb,Kent,st.-louis-de-kent,Nursing and residential care facilities,1
qc,La Vallée-de-la-Gatineau,gracefield,Ambulatory health care services,1
bc,Greater Vancouver,west vancouver,Nursing and residential care facilities,5
on,Peel,caledon,Ambulatory health care services,1
qc,Les Laurentides,sainte-agathe-des-monts,Nursing and residential care facilities,2
ab,Division No. 17,slave lake,Hospitals,1
bc,Okanagan-Similkameen,keremeos,Nursing and residential care facilities,2
sk,Division No. 16,blaine lake,Ambulatory health care services,1
on,Prince Edward,picton,Hospitals,1
qc,Nord-du-Québec,chisasibi,Nursing and residential care facilities,1
qc,Thérèse-De Blainville,sainte-thérèse,Ambulatory health care services,2
ab,Unknown,mclennan,Nursing and residential care facilities,1
ab,Division No.  2,brooks,Hospitals,1
bc,Cariboo,100 mile house,Ambulatory health care services,2
qc,Minganie--Le Golfe-du-Saint-Laurent,côte-nord-du-golfe-du-saint-laurent,Ambulatory health care services,4
on,Cochrane,iroquois falls,Nursing and residential care facilities,1
qc,Roussillon,kahnawake,Hospitals,1
ab,Division No.  3,claresholm,Hospitals,1
on,Thunder Bay,geraldton,Hospitals,1
qc,Portneuf,saint-raymond,Hospitals,1
qc,Rimouski-Neigette,rimouski,Ambulatory health care services,7
bc,Columbia-Shuswap,salmon arm,Hospitals,1
on,Frontenac,sharbot lake,Ambulatory health care services,2
qc,Portneuf,saint-marc-des-carrières,Hospitals,1
bc,Greater Vancouver,new westminster,Ambulatory health care services,3
qc,L'Assomption,repentigny,Nursing and residential care facilities,3
bc,Central Coast,bella bella,Ambulatory health care services,1
qc,Les Laurentides,sainte-agathe-des-monts,Hospitals,1
qc,L'Islet,saint-pamphile,Ambulatory health care services,1
nl,Division No.  7,gambo,Ambulatory health care services,1
ns,Halifax,seabright,Nursing and residential care facilities,1
on,Lennox and Addington,napanee,Nursing and residential care facilities,2
bc,Unknown,coquitlam,Nursing and residential care facilities,5
mb,Division No. 16,roblin,Hospitals,1
on,Kenora,ear falls,Ambulatory health care services,1
qc,Antoine-Labelle,mont-laurier,Nursing and residential care facilities,3
bc,Greater Vancouver,pitt meadows,Nursing and residential care facilities,2
on,Leeds and Grenville,prescott,Nursing and residential care facilities,2
ns,Cape Breton,north sydney,Nursing and residential care facilities,3
nl,Unknown,grand falls,Nursing and residential care facilities,1
qc,La Rivière-du-Nord,saint-jérome,Nursing and residential care facilities,1
bc,Central Okanagan,lake country,Nursing and residential care facilities,2
sk,Division No. 18,cumberland house,Nursing and residential care facilities,1
qc,Témiscamingue,ville-marie,Hospitals,1
bc,Greater Vancouver,aldergrove,Ambulatory health care services,1
qc,Maskinongé,saint-paulin,Ambulatory health care services,1
sk,Division No. 12,battleford,Nursing and residential care facilities,1
bc,Northern Rockies,fort nelson,Hospitals,1
on,Kenora,red lake,Ambulatory health care services,2
on,Prescott and Russell,hawkesbury,Hospitals,1
ab,Division No. 10,lloydminster,Nursing and residential care facilities,2
bc,Squamish-Lillooet,lillooet,Hospitals,1
sk,Division No. 14,melfort,Nursing and residential care facilities,1
qc,Charlevoix-Est,la malbaie,Hospitals,1
on,Leeds and Grenville,brockville,Hospitals,3
sk,Division No. 11,dalmeny,Nursing and residential care facilities,1
on,Elgin,aylmer,Nursing and residential care facilities,3
on,Cochrane,kapuskasing,Nursing and residential care facilities,2
on,Halton,georgetown,Hospitals,1
qc,La Côte-de-Gaspé,grande-vallée,Hospitals,1
qc,Bonaventure,paspébiac,Hospitals,1
qc,Pierre-De Saurel,sorel-tracy,Hospitals,2
qc,Lotbinière,laurier-station,Ambulatory health care services,2
ns,Pictou,new glasgow,Nursing and residential care facilities,3
bc,Unknown,qualicum beach,Nursing and residential care facilities,1
on,Perth,saint marys,Ambulatory health care services,3
qc,Montréal,montréal-ouest,Nursing and residential care facilities,1
on,Unknown,thunder bay,Nursing and residential care facilities,2
sk,Division No. 15,kinistino,Ambulatory health care services,1
sk,Division No. 14,nipawin,Hospitals,2
ns,Halifax,middle musquodoboit,Nursing and residential care facilities,1
nl,Division No.  6,botwood,Ambulatory health care services,1
qc,Nicolet-Yamaska,nicolet,Hospitals,2
on,Kenora,kenora,Nursing and residential care facilities,3
